ch,sex,age_class,flyway,freq
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,HY,3,60
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,HY,4,635
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100""",M,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100""",F,AHY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100""",F,HY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100""",F,HY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000""",M,HY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000""",F,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000""",F,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000""",F,HY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",M,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",M,HY,1,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",M,HY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",M,HY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",M,HY,4,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",F,AHY,1,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",F,AHY,2,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",F,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",F,HY,1,4
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",F,HY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",F,HY,4,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",M,HY,1,5
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",M,HY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",M,HY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",F,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",F,AHY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",F,AHY,4,4
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",F,HY,1,5
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",F,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,AHY,1,138
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,AHY,2,81
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,AHY,3,46
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,AHY,4,192
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,HY,1,1007
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,HY,2,367
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,HY,3,105
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,HY,4,578
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,AHY,1,294
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,AHY,2,98
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,AHY,3,37
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,AHY,4,290
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,HY,1,1045
