ch,sex,age_class,flyway,freq
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,AHY,4,182
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,AHY,6,35
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,HY,1,716
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,HY,2,366
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,HY,3,84
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,HY,4,544
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,HY,6,350
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,AHY,1,222
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,AHY,2,98
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,AHY,3,30
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,AHY,4,280
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,AHY,6,92
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,HY,1,773
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,HY,2,389
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,HY,3,74
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,HY,4,624
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,HY,6,348
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001""",M,HY,3,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001""",M,HY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100""",M,AHY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100""",M,AHY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100""",M,HY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100""",M,HY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100""",F,AHY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100""",F,AHY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000""",M,AHY,4,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000""",M,HY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000""",M,HY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000""",M,HY,4,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000""",F,AHY,4,4
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000""",F,HY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000""",F,HY,2,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000""",F,HY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000""",F,HY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",M,AHY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",M,HY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",M,HY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",M,HY,4,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",F,AHY,1,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",F,AHY,4,3
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",F,HY,1,3
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",F,HY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000""",F,HY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",M,AHY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",M,AHY,4,3
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",M,HY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",M,HY,2,5
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",M,HY,3,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",M,HY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",M,HY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",F,AHY,2,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",F,HY,1,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",F,HY,2,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000""",F,HY,4,4
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,AHY,1,105
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,AHY,2,58
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,AHY,3,50
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,AHY,4,101
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,AHY,6,54
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,HY,1,778
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,HY,2,390
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,HY,3,94
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,HY,4,258
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",M,HY,6,376
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,AHY,1,230
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,AHY,2,79
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,AHY,3,71
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,AHY,4,179
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,AHY,6,67
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,HY,1,768
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,HY,2,445
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,HY,3,77
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,HY,4,241
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,HY,6,364
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001""",F,AHY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100""",M,HY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100""",F,AHY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000""",M,AHY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000""",M,HY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000""",F,AHY,4,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000""",F,HY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000""",F,HY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000""",M,AHY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000""",F,AHY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",M,AHY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",M,AHY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",M,HY,1,4
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",M,HY,2,3
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",M,HY,3,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",M,HY,6,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",F,AHY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",F,AHY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",F,HY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",F,HY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",F,HY,3,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",F,HY,6,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",M,AHY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",M,HY,1,5
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",M,HY,2,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",M,HY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",M,HY,6,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",F,AHY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",F,AHY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",F,HY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",F,HY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",F,HY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,AHY,1,141
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,AHY,2,79
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,AHY,3,55
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,AHY,4,143
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,AHY,6,90
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,HY,1,703
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,HY,2,333
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,HY,3,86
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,HY,4,392
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,HY,6,421
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,AHY,1,194
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,AHY,2,114
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,AHY,3,51
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,AHY,4,241
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,AHY,6,124
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,HY,1,728
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,HY,2,403
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,HY,3,89
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,HY,4,450
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,HY,6,350
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001""",M,AHY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001""",F,AHY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000""",M,HY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000""",F,HY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000""",M,HY,1,1
